step,full_update_relative_to_initial,rr_update_relative_to_initial,full_rr_update_cosine_similarity,full_rr_weight_difference_relative_to_initial,full_rr_difference_relative_to_full_update,maximum_absolute_weight_difference
30,0.008551069910240225,0.008480000428340533,0.9938503859205153,0.0009470510776411296,0.110752348838477,0.0004381239414215088
300,0.1691060483559515,0.16800131079523953,0.9449349624271041,0.05594658203569237,0.33083726205895575,0.03704843483865261
1500,0.4855947327288765,0.485116666517615,0.7433931502310946,0.3477039402316258,0.7160372977640191,0.10191263630986214
2700,0.5224213085040369,0.5216413620844763,0.7235554799588798,0.3881649510354444,0.7430113295856211,0.10806139372289181
3000,0.522612654854042,0.5218200203376027,0.723503655277863,0.38833892960888144,0.7430721893202888,0.10807688534259796
